Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
102,CR 169,Mechanical engineering,M.Tech,H12,2009,Pune,India,Senior project engineer,Atlas copco India ltd,"Project Engineer CAE in GECIA AtlasCopco,Pune.Has worked in THYSSENKRUPP INDUSTRIES INDIA and VJ CORE SOFT PVT. LTD as a design engineer.Is working in the field of the FE simulation from last 8years and has experience in FE software like MSC Nastran, Altair Optistruct.Has also worked in design and development of new components from idea generation to final commissioning.",,
103,CR 170,Mechanical engineering,Dual,8,2009,Bangalore,India,Senior Key Expert,Siemens Corporate Research,"Translational research for various Siemens businesses specializing in low-light imaging and embedded signal processing with proof of concept prototype development. Innovation, System architecture and integration, system modeling, surrogate modeling, electrical machines, robotics, computational models, inverse problems, regression and linear algebra.",,
104,CR 171,MECHANICAL ENGINEERING,B.Tech,5,1982,Mumbai,India,Joint General Manager - Engineering,Larsen & Toubro Limited,"Have experience in engineering of low voltage switchgear products, automation, special purpose machines, product cost control, quality and others",,
105,CR 172,Mechanical Engineering,B.Tech,5,1997,Mumbai,India,Founder - Director,"MCARTech, Inc.","CoFounder - Vice President of MCARTech Inc.Former Chief Manager - Investments and project management in ArcelorMittal KryViy Rih,Ukraine.Has done work in Industrie 4.0, IIOT, Machinery Diagnostics and Predicting Equipment Failure, Manufacturing in Steel, Forgings, Automobile castings, power generation, business management ",,
106,CR 173,MEMS,B.Tech,H2,2006,Pune,India,Founder-Director,ConnViva Technologies Pvt. Ltd.,"founder-director of ConnViva Technologies Pvt.ltd.Guides the business and R&D activities of ConnViva. Raise funds, execute projects, take care of business development, and strategic direction.",,
107,CR 174,MEMS,Dual,5,2015,Hsinchu City,Taiwan,Package design engineer,TSMC,Currently Package Design Architecture Engineer at Back-end Technology with TSMC, Focusing mainly on developing new test vehicles design with package level electrical simulations and testing automation for future advanced node chip-packaging systems based on InFO (Integrated Fan Out Technology ),
108,CR 175,MEMS,Dual,9,2016,Mumbai,India,Team Lead- Li ion battery development,IIT Bombay,"Team lead- Li-ion Cell Development at IIT Bombay - NCPRE (National Center for Photovoltaic Research and Education).Former Business Analyst in Roland Berger,Mumbai.Former Director of IIT Bombay Alumni Association.Is looking forward to pursue a Ph.D. in USA.",,
109,CR 176,MEMS (Meta),B.Tech,2,2008,Jamshedpur,India,Executive Assistant to VP Iron Making,Tata Steel Ltd. ,Executive Assistant to VP Iron Making at Tata Steel Ltd.Has also worked in operations (Raw Material handling and Sinter Plant).,,
110,CR 177,METALLUIRGCAL ENGG.,M.Tech,3,1981,NAVI MUMBAI,INDIA,MANAGING DIRECTOR,ASTRO METALLURGICAL (I) PVT LTD,Managing Director at ASTRO METALLURGICAL (I) PVT LTD.,,
111,CR 178,Metallurgical Engineering & Materials Science,B.Tech,4,1962,Mumbai,India,INDEPENDENT DIRECTOR,JSW GROUP,"Retired after serving Nonferrous,Iron & Steel,Cement industries. Associated with setting up of Zinc industry,Three Major Steel Plants and 1 Slag based Cement plant in the country. Actively looked after CSR n Sustainability issues. Presently Independent Director in Steel n Cement companies.",,
112,CR 179,Metallurgical Engineering and Materials Science,B.Tech,10,2006,Gurgaon,India,Member of Technical Staff,Global Foundries,"Member of Technical Staff, Computational Lithography at Global Foundries. Part of semiconductor industry. Previous experience of a Characterization Engineer in IBM.",,
113,CR 180,Metallurgy and material science ,Dual,Hostel 10 ,2012,San Francisco ,California ,Summer Associate ,McKinsey and co. ,summer associate at McKinsey and co.,,
114,CR 181,Metallurgy and Materials Science,B.Tech,7,1971,Pune,India,Retired,N.A.,"Over 42 years experience in Steel-making and processing industry including electric furnace steel-making, continuous casting hot and cold rolling of flat and long steel products, covering manufacturing, quality control and assurance, product development and research.",,
115,CR 182,Reliability/Electrical Engg.,M.Tech,Hostel 6,2006,Bengaluru,India,Sr Staff,Qualcomm,Senior Staff Member in Qualcomm.Has done commendable work in Very-large-scale integration(VLSI)-Digital Design Methodologies.,,
116,CR 183,Sensor Systems Integration,M.Tech,H3,2003,Pune,India,Sr. Technology Laad,John Deere India Pvt. Ltd.,"Domain - Embedded Systems, Electronics Hardware design, Matlab, Sensor design and Simulation. Systems Engineering and Systems Integration. DFSS. Provide technical leadership to the Advanced Sensing Portfolio with clear focus on delivering innovative value proposition in terms of products, solutions & methods",,
117,CS 101,Computer Science and Engineering,B.Tech,8,1996,Jaipur,India,Settlement Commissioner,Government of Rajasthan,Settlement Commissioner of Government of Rajasthan.,,
118,CS 102,Civil,B.Tech,7,2015,Bangalore,India,Co-founder,Emerging Talent Pvt Ltd,Co-founder of Emerging Talent Pvt Ltd,,
119,CS 103,civil,M.Tech,12,2009,bangalore,india,Executive Engineer (IES),Central Government ,"Works as Executive Engineer (IES) for Central Government.Major area of work is National Highways related Planning,design project,management and decision making. ",,
120,CS 104,Metallurgy,B.Tech,SIX,1978,Pune,India,Retired Defence Service Officer ( Army),Nil,"Served in the Indian Army for 30 years. Providing Engineering Support to all Army Technical Equipment. Job involved repair, maintenance, recovery, indigenisation,  reverse engineering, inspection and innovative approach to Equipment issues.",,
121,CS 105,Aerospace Engineering,Dual,H13,2012,New Delhi,India,Assistant PF Commissioner,Ministry of Labour (EPFO) ,"Assistant PF Commissioner, at Ministry of Labour (EPFO)",,
122,CS 106,Mechanical,Dual,"6,13",2007,Mumbai,india,Senior Superintendent,"Government of India, Dept of Posts","Senior Superintendent , Dept of Posts,Government of India.",,
123,CS 107,Civil Engineering,M.Tech,H12,2009,Pune,India,Deputy Director,Central Water Commission,"Deputy Director at National Water Academy,Pune.Former Assistant Director in Central Water Commission,New Delhi.Main area of work is Structural Engineering, Design of Hydropower Plants, Analysis of Underground Structures, Training and Capacity Building.",,
124,CS 108,chemical engineering ,B.Tech,3,2003,kota,india,deputy commissioner,Indian Revenu Service ,"Indirect tax administration, civil services, Astt Commissioner at Ministry of Finance in Indian Revenue Service ",,
125,CS 109,Civil,B.Tech,6,2014,Delhi,India,IPS Probationer (On leave),Student (On leave),"IPS Probationer,Worked as an Credit Risk Analyst for 1 year in Citi Bank, Recently cracked Civil Services Exam 2016.",,
126,CS 110,Mechanical ,B.Tech,3,2013,Kolkata,India,Assistant Commissioner ,"Department of Revenue, Min of Finance","Assistant Commissioner at Department of Revenue, Min of Finance.Can provide guidance relating to civil services and other governmental jobs. ",,
127,CS 111,Chemical Engineering,B.Tech,10,2013,Dehradun,India,Indian Forest Service,Govt of India,Working in Indian Forest Service Govt of India.Presently going under training for Indian Forest Service at Dehradun. Have got Himachal Pradesh cadre and will get field posting in next year may.,,
128,CS 112,MEMS,B.Tech,13,2010,PATNA,India,IAS Officer Trainee,Government of India,"IAS officer trainee , General Administration ",,
129,CS 113,Civil,B.Tech,2,1969,MUMBAI,India,Retired,former Central Information Commissioner,former Central Information Commissioner. First generation entrepreneur and then RTI activist,,
130,DO 101,IDC,M.Des,14,2015,New Delhi,India,User researcher,SocialCops (last company),"User researcher at SocialCops.  Part of 'Collect Business Unit'. Collect is a SaaS product for mobile field data collection with offline functionality. 60,000 field auditors used Collect to capture 1.2 billion data points in 2017. Collect is known for its simple and user-friendly mobile app. 
Key responsibilities include: 
1. Embedding user-centered design in the team
2. User research and client feedback
3. Conceptualization and wireframing for new/existing features
",,
131,DO 102,Mechanical engineering,B.Tech,2,1974,MUMBAI,India,Retired as GM(Ops),Mechelonic Engineers Pvt. Ltd.,Retired general manager of Mechelonic Engineers Pvt. Ltd.,,
132,DO 103,Aerospace,Dual,H9,2005,Mumbai,India,Founder and CTO,Coverfox insurance broking pvt. ltd.,Founder and CTO at Coverfox insurance broking pvt. ltd.,,
133,DO 104,Electrical Engineering,Dual,8,2013,Mumbai/Philadelphia,India/United States of America,Associate ,SAIF Partners,Associate at SAIF partners.Used to look at end-to-end venture investments from sourcing to evaluation of companies to working with portfolio companies,,
134,DO 105,Chemical,B.Tech,3,2014,Mumbai/Hyderabad,India,Consultant ,YFS,consultant at YFS.Have knowledge in EPC activities from concept to commissioning ,,
135,DO 106,CSE,B.Tech,3,2009,Bangalore,India,Director (Engineering),Dailyhunt,"Is currently the Director( Engineering) at Dailyhunt, India's largest local language news & eBooks platform. Was co-founder and Director at Rockets Science innovations Pvt Ltd. Also was Co-Founder at Adel Technologies private limited which provides consulting and professional services to its clients for data analytics in big data technology and architecture.",,
136,DO 107,Industrial Design Centre,M.Des Industrial Design,H14,2009,Mumbai,India,Manager User Experience Practice,CitiusTech Healthcare Technology ,"CUA & CXA certified UX professional with 8+ years of global consulting experience in UX strategy and design across multiple domains like healthcare, aviation, telecom, e-commerce, consumer electronics, retail, entertainment, automobiles, banking-finance, and hospitality. Present work include designing applications using design methodologies. Conducting design thinking workshops for stakeholders. Training teams on UX processes and methods to derive user centres and business viable solutions.",,
137,DO 108,IDC,M.Des,2,2006,Chennai,India,Senior Consultant,Verizon,"Senior Consultant at Verizon. Interests-Experience Design, Interaction Design being 10+ years into design research",,
138,DO 109,Metallurgy,B.Tech,H4,1985,Pune,India ,CEO,Vedanta EduLearn Services ,CEO at Vedanta EduLearn Services. Career Transitions Coaching. Executive Coaching for Senior Leaders in midsize organisations to Large MNC. Specific interest and focus on evolution of Senior Professionals to take on new roles by enabling smooth transitions to realize their true potential and value to their organisations. ,,
139,DO 110,EE,ALUMNUS,QIP,2014,Kochi,India,ASSPCOATE PROFESSOR,College of Engineering Munnar,Associate Professor at College of Engineering Munnar.,,
140,DO 111,Mechanical,Dual,H2,2004,Gurgaon,India,Partner,Globevestor,"Co-founder and partner of Globevestor (Seed investments in technology startups), was a former Board Observer in Rubique and Flintobox.com. Worked as a consultant in The Boston Consulting Group.",,
141,DO 112,Aerospace Engineering,Dual,Hostel 10,2009,Bangalore,India,Content Manager,BYJUs,"Content Manager at BYJUs(,M.Ed. in Technology,Innovation and Education at Harvard University School of Graduation,Former Research Associate at E1 Educational initiatives,worked as Account strategist at InMobi.Passionate about  translating effective pedagogical practices into educational products/processes,with an 8+ years of work experience in project management, majorly in the edtech space.",,
142,DO 113,Engineering Physics,B.Tech,7,2003,Mumbai,USA,Founder,Spirichuals,"Founder of Spirituals, TEDx Speaker, Life coach and Resident Monk at ISKCON Chowpatty, Conducts highly motivating courses such as 'Agents of Change'",,
143,DO 114,Electrical,B.Tech,9,2004,Indore,India,Assistant Professor,IIM Indore,"Professor of public policy/ administration at IIM Indore; A doctoral student from IIM Bangalore and has been a faculty at Azim Premji University, Bangalore",,
144,DO 115,Civil ,Dual,H2,2011,Mumbai,India,Project Manager,UpGrad,Working at an ed-tech organisation which creates programs for working professionals. Previously have worked in education sector in startups. I have completed my MBA from IIM Calcutta. Can guide the mentee for MBA/b-schools and options in education/social sector.,,
145,DO 116,Electrical,Dual,10,2006,Mumbai,India,Principal,Omidyar Network,"Experimenting with Entrepreneurship and Education Technology- Strong believer of both!, Have been in Education sector for last 10 years with policy organisation, grant making foundations and investment firm",,
146,DO 117,IDC IIT Bombay,M. Des,Hostel 7,2008,BANGALORE,India,AVP Design,Practo,"A design executive with experience in building and leading design teams; the Head of Design and a part of the leadership team at Practo - India's largest healthcare technology platform; Ex Commonfloor, frog design. Design Leader and Advisor",,
147,DO 118,Civil Engineering,B.Tech,"8, 13",2013,Noida,India,Product Manager,Times Internet,"Experienced entrepreneur, passionate about creating delightful user experiences and solving real world consumer problems. Highly Skilled in B2C mobile products, digital, social, analytics and gamification. Hands on experience in Android development & UI/UX design. Love to work on challenging problems, scaling products to millions of users, building world class teams and deliver impact in users ives.

Specialities:
•        Product Management, UX & Strategy
•        Social & Community Products
•        Growth & Gamification Models
•        Data driven decision making and Leadership",,
148,DO 119,Mechanical Engineergin,B.Tech,3,2008,Mumbai,India,Principal,Blume Ventures,"Venture Capital, startups, investment banking, been the Manager of Carbon Clean Solutions",,
149,DO 120,ChE,B.Tech,THREE,1984,Pune,INDIA,Vice President,"1. HARMAN Connected Services,  2. The Ecological Society","IOT, Control & communication, Sustainability, New business models and paradigms such as 'Comfort as a service' and how to enable these models, Help steer the education and research projects at The Ecological Society, participate in teaching for the Diploma in Natural resource Management, Sustainable development & Nature restoration",,
150,DO 121,Chemical Engineering,B.Tech,2,1992,Mumbai,India,India - Africa ESH and Human Rights Lead,Monsanto,"Provide strategic direction and leadership to Environment, Safety & Health (ESH), Occupational Medicine (OM), Vehicle Safety (VS) and Human Rights (HR) programs at Monsanto India and 8 African countries. Lead diverse and talented team to develop strategies consistent with the Company's vision. Recognized as ESH-HR thought leader in Indian Industry. Strong contributor to Global ESH; Asia-Africa Supply Chain and India Supply Chain Leadership Teams. As member of the Global ESH Leadership Team at Monsanto, partner with Global, Regional and Functional Leads to determine overall direction and implementation strategy for company wide ESH initiatives, policies and programs.Have earlier 14 years consulting experience providing ESH services to large multinational industrial clients in 15 countries.",,
151,DO 122,IDC,DIIT,H4,1977,Bangalore,India,CEO,"Composite Technologies Pvt Ltd.,","Product Design in particular sheetmetal cabinets, enclosures etc.,",,
152,DO 123,Energy systems engineering,In area of natural circulation in multiple channels,QIP building 2,Awarded Ph D in year 2007,PUNE,India,Retired Professor in Thermal engg/ Retired Principal,"Member of Heartfulness institute, ","Retired Professor in Thermal engg/ Retired Principal. Member of Heartfulness institute, ",,
153,DO 124,Reliability Engineering,PhD,H3,2000,Hyderabad,India,CEO,Sujana Foundation ,"Currently an Investor, Advisor and Mentor to early stage startups. Entrepreneurship development and building startup ecosystem is my forte. Cofounded Tesla Consulting Group, provides business accelerator & startup accelerator services.",,
154,DO 125,Mechanical Engineering,PhD,H 1,"1986, 2004",Pune,India,Professor ,Modern Education Society's College of Engineering,"Teaching and guiding UG, PG, PhD Students for Project work and mentoring students  ",,
155,DO 126,MEMS,B.Tech,H2,2014,Mumbai/Ahmedabad,India,"Sales Head, Gujarat",Ofbusiness,"If you ask me for 1 field where I have spent most of my professional life, I'll give you 3. I used to be a 9 pointer in college and always dreamt of starting my own business. Foreign interns and high salaries did sway me for a bit but I found my feet eventually. With an insti professor and batchmate, I started a manufacturing company straight out of IIT, which was incubated in SINE. Then when the growth there stabilized, I started a refurshised furniture startup with some IIT alumni. We won the Ten Minute Million at E-cell and scaled it to a lifestyle business. 

I thought of using my manufacturing and trading (furniture) experience and venturing into finance. This led to me starting West Zone operations for Ofbusiness (Series C 30M$ + 100M$ debt line). 1 year fast forward and my team contributes to about INR 25 Cr per month which is about 20% of company topline. 

Being a guide is quite fun for me. I have also mentored a few startups at IIM Ahmedabad and other incubators. Used to be a mentor in the institute as well and also for Avanti Fellows.

Over past few years, I have gained a broad range of experience in manufacturing, consumer goods, commodities sales and also finance. I have held positions in sales, finance and operations roles. If you are stuck somewhere (career/otherwise) and need a holistic perspective, ping me :)",,
156,DO 127,Civil Engineering,Dual,2,2003,Doha,Qatar,NA,Qatar Computing Research Institute,"MS in public policy from Georgia Institute of Technology. Director in nDimensions.Former Investment Officer - India Investments in Grassroots Business Fund,Washington D.C.Has done commendable work in research commercialisation and startups. ",,
157,DO 128,IDC,MDes,H3,1995,Thane,India,Principal designer ,Mahindra,"Principal designer in Mahindra. Interested in automotive , product and graphic design.",,
158,DO 129,Chemical,B.Tech,7,2009,Mumbai,India,Lecturer,Resonance Eduventures Ltd.,Lecturer in Resonance Eduventures Ltd.,,
159,DO 130,MEMS,Dual,9,2012,Mumbai,India,Head of Product,Testbook.com,"Head of Product in Testbook.com.Has done commendable work on Product Thinking, Product Design, Online Businesses/Start-ups, Technology, Analytics and User behaviour.",,
160,DO 131,Chemical,B.Tech,10,2012,Mumbai,India,Community Head,BabyChakra,Community Head in BabyChakra. Can give basic advice on how to choose the right field after graduation,,
161,DO 132,IDC,M. Des,Hostel 6,2008,Hyderabad,India,"Innovation Consultant,  UX Strategist",ADP Pvt Ltd Hyderabad,"Experience Strategist - Innovation Consultant - Design Thinker at ADP, Chief Designer, mobile UX group-Samsung Design Delhi at Samsung Electronics. Specialties: Interaction Design, User Centric Experiential Design, Mobile Experience Design, Mission critical system Design, Innovation, Strategic Design, Consumer Products, Voice of Customer, Product Interaction Design, Design thinking",,
162,DO 133,Mechanical,Dual,13,2008,Pune,India,Founder,Insane Travelers,"Has worked in different fields in the last 10 years including core research at Albert Ludwigs University - Freiburg Germany, engineering product development at Tata Motors, and entrepreneurship. 2.5 years back,decided to get his hands dirty in the field of his personal interest and founded Insane Travelers.Looks forward to take up more projects in future, which are in line with his personal interests.",,
163,DO 134,EE,B.Tech,9,2002,New Delhi,India,Founder,RedCarpetUp.com,"Founder (YCombinator Summer 2015) of RedCarpetUp.com,Gurgaon.Former Vice President - Engineering at PropTiger.com.Former Director - Engineering at Tradus,Gurgaon.Founder of multiple startups. Long experience in ecommerce, payments, large scale internet systems, blockchain and AI",,
164,DO 135,Humanities and Social Sciences,M.Phil,None,2009,Dallas,United States,Graduate Student,Dallas Theological Seminary,"Graduate Student at Dallas Theological Seminary.Former Senior Consultant, Government Advisory - Performance Improvement (Business Advisory Services) at Ernst & Young,Mumbai.Former Senior Consultant, Government Reforms and Infrastructure Development (GRID) at PricewaterhouseCoopers,Mumbai.Is volunteering with a Refugee ministry and involved in ministering to international students in the campuses.",,
165,DO 136,Chemical,B.Tech,8,1971,Mumbai,India,Retired,NA, Interested in Design and Engineering. A Technical consultant,,
166,DO 137,IDC,M Des,H5,2003,Bangalore,India,Founder & Ux Director,Neointeraction Designs,"CEO & Ux Director of Neointeraction designs,Bengaluru.Founder of Oranjdot(was responsible for design delivery).Former Ux Designer at Verizon Data Services.",,
167,DO 138,"CIVIL ENGG, MANAGEMENT, INFO SYSTEMS",M.Tech,NIL,1991,Thiruvananthapuram,India,Techno-legal consultant,independent,"Independent Legal Services Professional in Thiruvananthapuram.Has great experience in marketing, Entrepreneurship, Leadership, Vision and mission formulation etc.",,
168,DO 139,IDC ,M Des ,H9 and H14,2012,Bangalore,India ,Co Founder / Designer ,The Design Thing ,"UX Design, Design Research, Design Entrepreneurship, Architecture, Industrial Design, Pet Foods & Veterinary healthcare, Karate / Martial Arts, Fitness, Bamboo, Real Estate, BFSI, HealthCare Tech, Remote collaboration in Design / Tech, Design Education. For details please check Linkedin profile.",,
169,FN 101,electrical,B.Tech,h9,2013,delhi,india,quantitative strategist ,quadeye securities,have been developing various quant based strategies across different markets and financial instruments. ,,
170,FN 102,Electrical,B.Tech,5,2006,Mumbai,India,Vice President,Apax Partners,"MBA in Finance from The University of Chicago Booth School of Business and MBA in finance strategy from IIM,Ahmedabad.Vice President of Apax Partners,Mumbai.Former Senior Associate Bain Capital.Former Analyst in Goldman Sachs.Major area of interest is private equity.",,
171,FN 103,Civil,B.Tech,9,2016,Mumbai,India,Head of Analytics,eBay ,"Twelve years of experience in the field of analytics. Managed the projects ranging from Customer acquisition, Portfolio management, Existing customer management, Digital engagement business operations and Collections. 
Experienced professional in end-to-end Marketing, Risk, and Digital analytics solutions, with demonstrated ability to drive performance by leveraging cross functional relationships, balanced team coordination, thought leadership and clear written and oral communication.",,
172,FN 104,Electrical Engineering,Dual,5,2016,Mumbai,India,Senior Analyst (Debt Strats),Deutsche Bank,"Senior Analyst at Deutsche Bank,Mumbai.Former Analyst in Credit Suisse,Mumbai.Former Data Analyst in IIT Bombay Heritage Foundation,New York.Major area of interest is Finance, Banking, Strats and CFA.",,
173,FN 105,Mechanical,M.Tech,H6,2007,Mumbai,India,Vice President,Avendus Finance Private Limited,Involved in evaluating structured financing opportunities and structuring debt transactions to formulate optimal financing solutions for corporate clients in India. Expertise in the field of finance,,
174,FN 106,Mems,B.Tech,2,2014,Bengaluru,India,Product Manager,NiYO,"Product manager at NiYO.worked as a technical analyst in an investment bank, founded a couple of start-ups in materials science and digital manufacturing, consulted as an interim CTO and a product manager for two startups prior to this role, hopping across India and Singapore in the past 4 years. Currently working as a product manager in a fintech startup.",,
175,FN 107,Electrical,Dual,2,2011,Mumbai,India,Vice President,AlphaGrep,"Vice President in WorldQuant LLC(working involves development of quantitative models for the efficient prediction of various financial markets),with an experience in Quantitative Research and Algorithmic Trading and finance & expertise in Data Science, Data Analytics, Quantitative Finance, Robotics.",,
176,FN 108,Engineering Physics,Dual,3,2016,Mumbai,India,Analyst,JP Morgan,"Working as Analyst,fixed Income Index Research at JPMorgan Chase & Co. Former Strategy Analyst at Loylty Rewardz Mngt Pvt. Ltd. Investment Banking Professional engaged in Data Science and Big Data Analytics.",,
177,FN 109,Physics ,MSc.,Nine(9),1976,Nagpur ,India,Visiting Professor ,National Institute Of Bank Management Pune,"Visiting Professor,National Institute Of Bank Management Pune. retired as Dy Managing Director from State Bank of India after putting in 38 years of service.Can mentor students in any area.",,
178,FN 110,Mechanical,B.Tech,6,2015,Kolkata,India,Student,IIM Calcutta,Student at IIM Calcutta. Previously Risk Analyst for hedge fund clients at Gravitas,,
179,FN 111,Mechanical,B.Tech,2,2004,Mumbai,India,Vice President,Barclays,"MS in Manufacturing Systems & Technology from MIT. VP, Risk Management at Barclays Bank PLC.Former Analyst in Barclays Capital, Singapore.",,
180,FN 112,SOM,Master of Management,12,2008,Riyadh,Saudi Arabia,Investment Analyst,Jarir investment,"Investment Analyst in JARIR INVESTMENT,Saudi Arabia.Former Associate Vice President of Merisis Advisors,Mumbai.Former Director of UR Associates,Mumbai.",,
181,FN 113,Chemical Engineering,B.Tech,4,2015,Mumbai,India,Investment Banking Analyst,Alantra,Has been working for 3 years with Alantra (C.W Downer) on cross-border M&A transactions.Major area of interest is finance.,,
182,FN 114,Chemical engg,B.Tech,8,2002,Mumbai,India,CEO ,Fincash.com,"CEO of Fincash.com.Expert in Financial services, BFSI",,
183,FN 115,Aerospace,B.Tech,2,2010,Mumbai,India,Assistant Vice President,InCred,"Assistant vice president at InCred .have 5 years of experience in Management Consulting and Investment Banking in global organisations (Deloitte, Credit Suisse and Goldman Sachs). Currently part of the CEO's Office at InCred, a fintech lending company where I drive Product Strategy",,
184,FN 116,CSE,B.Tech,2,2005,Hong Kong,Hong Kong,Hedge fund portfolio manager,Millennium ,Hedge fund portfolio manager at Millenium. Worked in finance trading global markets with investment banks and hedge fund. Worked with Delta One Swaps at Morgan Stanley.,,
185,FN 117,Mechanical,B.Tech,H9,1989,Navi Mumbai,India,Director,5E Finance Holdings Private Limited,Director and Founder of Company Name5E Financial Services, been the Chief Executive & Whole-time Director of L&T Infrastructure Finance Co Ltd, I would like to guide in Infrastructure Finance in specific and financial services in general. 
186,FN 118,Civil,B.Tech,6,2009,Mumbai,India,AVP,Acko General Insurance,"Founder of Expowealth Technologies Pvt Ltd (Expowealth in an online, no-commission investment planning platform). AVP at Acko General Insurance.Worked as leadership associate in Aditya Birla Group.",,
187,FN 119,Mechanical engineering ,B.Tech,6,1997,Hongkong,Hong Kong,Portfolio manager ,BFAM Partners,Portfolio manager  at BFAM Partners(a hedge fund manager based in Hong Kong).Intrerested in finance.,,
188,FN 120,Mechanical,Dual,9,2013,Singapore,Singapore,Senior Associate,KPMG M&A,"Senior Associate at KPMG M&A,former worked in Rothschild(Investment banking).",,
189,FN 121,Chemical engineering,B.Tech,9,2001,London,United Kingdom,Quantitative Risk Manager,HSBC,Quantitative Risk Manager at HSBC.More than 12 years in the area of building market risk models for Capital Markets in investment banking.,,
190,FN 122,Computer Science and Engineering,B.Tech,H-8,2010,Gurgaon,India,Managing Director,Mathisys Advisors LLP,Managing Director at Mathisys. We are a Quant Hedge Fund which is primarily into Algorithmic trading. We do both High Frequency Trading and Medium Frequency Trading. Worked as a Quant Analyst for QuadEye Securities. ,,
191,FN 123,Electrical Engg,Dual,4,2006,London,UK,Director,Deutsche Bank,Synthetic Equities Trader, Director of Deutsche Bank,
192,FN 124,CSE,B.Tech,H8,2012,Barcelona,Spain,Investment Principal,Consensys Ventures,Structuring investment funds for Venture Capital and assessing blockchain projects, Building capabilities for better network and connectivity infrastructure,
193,FN 125,Civil,Dual,13,2008,Mumbai,India,AVP,BNP Paribas Bank,"Relationship Manager and former Assistant VP at BNP Paribas,Mumbai.Former Senior Analyst (Corporate Sector Ratings) in ICRA.Former Intern - Equity Capital Markets (Capital Markets Origination) at Citibank.",,
194,FN 126,Chemical,B.Tech,H10,2005,Gurgaon,India,Investment Officer,IFC,Investment Officer in IFC.Major area of interest in finance.,,
195,FN 127,Electrical,B.Tech,6,2015,Mumbai,India,Associate,Blackstone,"Private Equity Associate at The Blackstone Group,Mumbai.Former Corporate Finance Analyst in Debt Capital Markets | Deutsche Bank.Main area of interest is private equity investment analysis and debt side investment banking.",,
196,FN 128,Computer Science,M.Tech,12,2011,Chennai,India,Team Manager,Royal Dutch Shell,"North America Power Trading, Daily P&L reporting, Stress reporting, Exposure analysis, VaR reporting, Physical and Financial instruments, Forward, Futures, Power swaps, power options and other power derivatives. Spotfire, Python, Macros.Finance in general and the market risk in specialization. Finance for Oil and Gas Industry.",,
197,FN 129,Sjmsom,M.mgmt,15&12,2016,Mumbai,India,Manager,Icici bank,Manager at ICICI Bank. Market Risk- Derivatives and Fixed income. Worked as Software Engineering Analyst at Accenture.,,
198,FN 130,Civil,B.Tech,4,2014,Mumbai,India,Investment Banking Analyst,Credit Suisse Securities,"Investment Banking Analyst at Credit Suisse Securities(help corporates raise money via debt, IPO, QIP etc.).Former Bussiness analyst in Fractal Analytics.Has done Masters in international management form CEMS and MBA from IIM-Calcutta.",,
199,FN 131,Mechanical,Dual,4,2010,Chennai,India,Senior Associate,Creador,Senior Associate at Creador. 5+ years as Investment Professional in Private Equity / Equity Markets. Worked at Thomas White International and Deloitte.,,
200,FN 132,Electrical Engg,B.Tech,H4,2012,Mumbai,India,Senior Manager,HDFC Bank,"Senior Manager at HDFC Bank,Mumbai.Is a Risk Management professional with avid interest in Applications of AI, ML in Finance, International relations and Philosophy.",,
201,FN 133,MEMS,B.Tech,7,2014,Bangalore,India,Investment Banking Analyst,DCS Advisory India,Investment banking analyst helping in companies raise fund and in their M&A.Currently working at DCS Advisory India,,
202,FN 134,Computer Science,Dual,4,2005,Mountain View,USA,Independent Investor and Advisor,NA,"Independent Investor and Advisor at Buxfer,Inc., former Vice President,Investment Analyst at Altavista Investment Management.Investment analyst with more than a decade's experience investing in global equities (fundamentals based long term investing). Proficient in financial analysis, financial modeling and forecasting, business and strategy analysis and derivatives.",,
203,FN 135,Mechanical,B.Tech,4,2014,Kolkata,India,Pgp student,IIM Calcutta,Fixed Income derivatives trading ( Rates and Bonds). Worked with GPS (Multi Assets Macro Investment fund) in the Markets team of Goldman Sachs.,,
204,FN 136,Electrical,Dual,7,2014,Mumbai,India,Associate,Blackstone,"I am currently an MBA candidate at the Stanford Graduate School of Business, Class of 2020. I previouslyworked with Blackstone's Private Equity team in India. I graduated from the Indian Institute of TechnologyBombay with Bachelor's and Master's degrees in Electrical Engineering in 2014.",,
205,FN 137,SOM,Master of Management,H14,2012,Mumbai,India,AVP,Polestar Capital,"AVP at Polestar Capital. Investment Banking and Corporate Finance Advisory. Experienced Assistant Vice President with a demonstrated history of working in the investment banking industry. Skilled in Corporate Finance. Strong professional with a MBA focused in Finance, Strategy from Indian Institute of Technology, Bombay. Worked at Deutsche Bank, AFII Corporate Advisors and Crisil previously.",,
206,FN 138,Mechanical,Dual,3,2007,Bengaluru,India,Finance & Economics Lead,Shell,"Finance & Economics Lead / Group Planning Advisor  and former Senior Business / Upstream Commercial Analyst at Shell,Bengaluru.Former Senior Consultant - Strategy & Operations in Deloitte,Mumbai.",,
207,FN 139,Mechanical,B.Tech,4,2012,Bangalore,India,Manager,Flipkart,Manager at Flipkart, Involved in Program management,
208,IT 101,CSE,B.Tech,H9,2005,Bangalore,India,VP Engineering,Rupeek,VP Engineering at Rupeek.,,
